Bug-ID,# Line Additions,# Line Removals,# Total Modified Lines
Chart-11f,1,1,2
Chart-12f,1,1,2
Chart-16f,3,3,6
Chart-17f,1,2,3
Chart-18f,2,11,13
Chart-1f,1,1,2
Chart-20f,1,1,2
Chart-21f,0,39,39
Chart-22f,3,32,35
Chart-23f,0,19,19
Chart-24f,1,1,2
Chart-25f,2,14,16
Chart-26f,0,2,2
Chart-2f,0,14,14
Chart-5f,1,5,6
Chart-6f,1,8,9
Chart-8f,1,1,2
Cli-12f,1,6,7
Cli-14f,3,3,6
Cli-15f,5,14,19
Cli-18f,5,2,7
Cli-19f,2,1,3
Cli-21f,0,33,33
Cli-22f,9,13,22
Cli-23f,5,5,10
Cli-24f,2,1,3
Cli-25f,1,1,2
Cli-26f,1,5,6
Cli-29f,6,2,8
Cli-2f,1,2,3
Cli-31f,4,4,8
Cli-32f,5,1,6
Cli-33f,1,18,19
Cli-34f,2,2,4
Cli-36f,2,2,4
Cli-37f,1,7,8
Cli-39f,1,12,13
Cli-3f,1,11,12
Cli-40f,1,1,2
Cli-5f,0,3,3
Cli-8f,1,1,2
Closure-104f,1,1,2
Closure-106f,2,4,6
Closure-109f,1,5,6
Closure-128f,1,4,5
Closure-129f,0,3,3
Closure-12f,0,6,6
Closure-131f,1,2,3
Closure-139f,1,32,33
Closure-140f,6,9,15
Closure-141f,3,24,27
Closure-147f,1,7,8
Closure-148f,77,148,225
Closure-152f,1,4,5
Closure-164f,0,17,17
Closure-167f,14,15,29
Closure-173f,6,29,35
Closure-175f,19,19,38
Closure-19f,0,2,2
Closure-22f,26,2,28
Closure-27f,3,6,9
Closure-28f,0,4,4
Closure-30f,2,10,12
Closure-33f,0,3,3
Closure-39f,3,3,6
Closure-42f,0,7,7
Closure-49f,8,14,22
Closure-50f,1,6,7
Closure-52f,1,1,2
Closure-54f,3,12,15
Closure-65f,1,1,2
Closure-73f,1,1,2
Closure-75f,1,4,5
Closure-77f,0,1,1
Closure-7f,1,5,6
Closure-80f,0,2,2
Closure-81f,0,7,7
Closure-82f,1,3,4
Closure-85f,14,8,22
Closure-94f,0,19,19
Closure-99f,1,6,7
Codec-11f,11,52,63
Codec-12f,0,28,28
Codec-15f,5,6,11
Codec-16f,1,1,2
Codec-17f,1,1,2
Codec-18f,1,1,2
Codec-3f,1,1,2
Codec-4f,1,1,2
Codec-6f,1,5,6
Codec-7f,1,1,2
Codec-9f,1,1,2
Compress-11f,0,2,2
Compress-14f,8,1,9
Compress-15f,5,5,10
Compress-16f,1,2,3
Compress-17f,1,2,3
Compress-18f,0,3,3
Compress-19f,1,1,2
Compress-1f,0,1,1
Compress-24f,8,5,13
Compress-27f,4,0,4
Compress-2f,7,32,39
Compress-31f,3,0,3
Compress-34f,1,2,3
Compress-35f,6,1,7
Compress-39f,1,8,9
Compress-3f,0,6,6
Compress-41f,1,2,3
Compress-42f,1,2,3
Compress-44f,0,6,6
Compress-45f,1,2,3
Compress-46f,2,1,3
Compress-47f,1,14,15
Compress-4f,3,1,4
Compress-6f,3,6,9
Compress-7f,2,3,5
Compress-8f,10,29,39
Compress-9f,1,9,10
Csv-10f,0,3,3
Csv-11f,1,1,2
Csv-12f,1,1,2
Csv-13f,2,4,6
Csv-14f,1,1,2
Csv-2f,0,7,7
Csv-3f,0,3,3
Csv-4f,1,1,2
Csv-5f,0,2,2
Csv-6f,0,2,2
Csv-7f,0,3,3
Csv-8f,7,6,13
Csv-9f,0,3,3
Gson-12f,0,4,4
Gson-2f,1,13,14
Gson-4f,19,9,28
Gson-7f,2,10,12
Gson-9f,4,16,20
JacksonCore-12f,6,15,21
JacksonCore-14f,2,3,5
JacksonCore-15f,0,9,9
JacksonCore-16f,6,14,20
JacksonCore-17f,3,43,46
JacksonCore-18f,8,10,18
JacksonCore-1f,2,13,15
JacksonCore-20f,1,10,11
JacksonCore-22f,3,16,19
JacksonCore-26f,0,1,1
JacksonCore-3f,0,2,2
JacksonCore-4f,1,4,5
JacksonCore-5f,1,1,2
JacksonCore-7f,0,3,3
JacksonCore-8f,1,1,2
JacksonDatabind-100f,9,3,12
JacksonDatabind-102f,3,0,3
JacksonDatabind-105f,1,5,6
JacksonDatabind-106f,0,6,6
JacksonDatabind-108f,1,31,32
JacksonDatabind-111f,7,13,20
JacksonDatabind-11f,2,2,4
JacksonDatabind-12f,1,3,4
JacksonDatabind-13f,0,6,6
JacksonDatabind-16f,1,1,2
JacksonDatabind-25f,4,4,8
JacksonDatabind-38f,4,31,35
JacksonDatabind-3f,2,2,4
JacksonDatabind-44f,0,26,26
JacksonDatabind-46f,1,1,2
JacksonDatabind-70f,1,1,2
JacksonDatabind-72f,0,2,2
JacksonDatabind-84f,0,7,7
JacksonDatabind-86f,0,7,7
JacksonDatabind-88f,0,4,4
JacksonDatabind-8f,1,12,13
JacksonDatabind-90f,1,9,10
JacksonDatabind-95f,4,4,8
JacksonDatabind-97f,1,1,2
JacksonDatabind-99f,0,1,1
Jsoup-12f,1,15,16
Jsoup-16f,2,3,5
Jsoup-18f,1,2,3
Jsoup-1f,2,2,4
Jsoup-21f,9,16,25
Jsoup-22f,2,23,25
Jsoup-26f,0,1,1
Jsoup-29f,1,1,2
Jsoup-2f,0,1,1
Jsoup-30f,8,24,32
Jsoup-36f,1,17,18
Jsoup-40f,1,0,1
Jsoup-41f,1,1,2
Jsoup-46f,1,1,2
Jsoup-47f,1,1,2
Jsoup-50f,7,14,21
Jsoup-52f,25,9,34
Jsoup-54f,0,1,1
Jsoup-57f,1,1,2
Jsoup-59f,0,2,2
Jsoup-5f,1,2,3
Jsoup-60f,0,7,7
Jsoup-63f,14,3,17
Jsoup-77f,1,1,2
Jsoup-79f,1,2,3
Jsoup-7f,0,20,20
Jsoup-80f,0,2,2
Jsoup-83f,2,7,9
Jsoup-86f,1,1,2
Jsoup-88f,1,1,2
Jsoup-89f,1,2,3
Jsoup-8f,1,4,5
Jsoup-93f,0,1,1
JxPath-10f,1,1,2
JxPath-12f,1,2,3
JxPath-13f,23,46,69
JxPath-14f,0,9,9
JxPath-16f,3,2,5
JxPath-18f,4,13,17
JxPath-20f,1,10,11
JxPath-21f,1,2,3
JxPath-22f,3,3,6
JxPath-4f,27,31,58
JxPath-5f,3,1,4
JxPath-6f,2,8,10
JxPath-7f,16,68,84
JxPath-8f,0,6,6
JxPath-9f,22,26,48
Lang-16f,1,1,2
Lang-18f,3,3,6
Lang-19f,3,9,12
Lang-1f,2,11,13
Lang-22f,1,7,8
Lang-23f,0,31,31
Lang-24f,1,1,2
Lang-27f,1,4,5
Lang-28f,0,6,6
Lang-32f,8,17,25
Lang-33f,1,1,2
Lang-35f,2,2,4
Lang-36f,1,9,10
Lang-37f,0,8,8
Lang-41f,2,21,23
Lang-45f,0,3,3
Lang-46f,7,10,17
Lang-49f,0,3,3
Lang-52f,0,4,4
Lang-54f,0,3,3
Lang-57f,1,1,2
Lang-58f,2,1,3
Lang-5f,0,21,21
Lang-62f,0,8,8
Lang-65f,0,30,30
Lang-7f,3,3,6
Lang-8f,2,1,3
Math-101f,1,2,3
Math-102f,0,17,17
Math-103f,0,10,10
Math-104f,1,1,2
Math-105f,1,1,2
Math-106f,0,8,8
Math-11f,1,1,2
Math-13f,0,9,9
Math-14f,4,10,14
Math-17f,0,4,4
Math-1f,0,6,6
Math-21f,10,13,23
Math-23f,2,9,11
Math-24f,2,2,4
Math-25f,0,3,3
Math-26f,2,2,4
Math-27f,1,1,2
Math-28f,0,4,4
Math-29f,4,15,19
Math-2f,1,1,2
Math-32f,1,1,2
Math-35f,2,2,4
Math-36f,0,12,12
Math-37f,2,14,16
Math-3f,0,3,3
Math-40f,2,8,10
Math-42f,1,3,4
Math-43f,3,3,6
Math-44f,1,6,7
Math-45f,0,5,5
Math-46f,2,2,4
Math-47f,3,5,8
Math-49f,4,4,8
Math-4f,0,6,6
Math-50f,4,0,4
Math-52f,3,4,7
Math-53f,0,3,3
Math-55f,1,18,19
Math-56f,7,1,8
Math-58f,1,1,2
Math-5f,1,1,2
Math-61f,1,1,2
Math-62f,4,3,7
Math-63f,1,1,2
Math-64f,8,22,30
Math-66f,22,11,33
Math-67f,2,2,4
Math-68f,2,12,14
Math-6f,15,13,28
Math-70f,1,1,2
Math-71f,0,7,7
Math-73f,0,4,4
Math-75f,1,1,2
Math-77f,10,1,11
Math-78f,0,11,11
Math-79f,2,2,4
Math-7f,9,8,17
Math-80f,1,1,2
Math-83f,3,3,6
Math-85f,1,1,2
Math-86f,3,3,6
Math-87f,4,2,6
Math-89f,0,4,4
Math-90f,0,3,3
Math-92f,6,49,55
Math-93f,2,10,12
Math-94f,1,1,2
Math-95f,1,3,4
Math-96f,1,1,2
Math-97f,2,16,18
Math-98f,2,2,4
Math-99f,0,8,8
Math-9f,1,2,3
Mockito-17f,2,8,10
Mockito-29f,1,1,2
Mockito-37f,0,8,8
Time-11f,4,5,9
Time-13f,1,5,6
Time-15f,0,3,3
Time-1f,4,10,14
Time-22f,1,6,7
Time-24f,0,5,5
Time-27f,0,2,2
Time-2f,1,7,8
Time-5f,6,12,18
